Goodfellow,0,Apple Inc.
Gosling,5,Sun Microsystems
Graham,0,
Graham,0,
Graham,5,"University of California, Berkeley"
Gray,5,
Greibach,0,"University of California, Los Angeles"
Gries,4,U.S. Naval Weapons Laboratory
Griswold,0,
Gropp,1,Yale University
Gruber,0,
Guberman,0,
Guha,0,Google
Gunther,0,San Jose State University
Gutknecht,0,Swissair
Guy,0,University of Cambridge
Griesemer,0,
Habermann,0,Carnegie Mellon University
Hahn,0,
Hall,0,
Hall,6,University of Southampton
Halpern,2,Cornell University
Hamilton,11,
Hamming,4,University of Louisville
Han,0,University of Illinois at Urbana-Champaign
Harary,0,University of Michigan
Harris,0,National Film Board of Canada
Hartmanis,3,General Electric
Håstad,4,KTH Royal Institute of Technology
Hatton,3,Kingston University
Hawryszkiewycz,0,
Jifeng,0,East China Normal University
Hehner,0,University of Toronto
Hellman,5,Stanford University
Heiser,11,University of New South Wales
Hendler,0,Rensselaer Polytechnic Institute
Hennessy,9,
Herbert,0,
Hewitt,0,MIT
Hightower,0,
Hillis,3,Thinking Machines
Hinton,9,University of Toronto
Hirschberg,2,Columbia University
Ho,0,
Hoare,5,Elliott Brothers
Hodes,0,Massachusetts Institute of Technology
Holberton,4,
Holland,1,University of Michigan
Hollerith,3,
Holzmann,4,Bell Labs
Hopcroft,7,Cornell University
Hopper,9,Vassar College
Horvitz,0,
Householder,0,Oak Ridge National Laboratory
Hudak,6,Watkins-Johnson Company
Huffman,5,
Hughes,2,Chalmers University of Technology
Hui,2,I. P. Sharp Associates
Humphrey,3,IBM
Hutchins,0,
Hoberman,0,
Ichbiah,0,
Ierusalimschy,0,Pontifical Catholic University of Rio de Janeiro
Ingalls,11,Xerox PARC
Irwin,13,Pennsylvania State University
Iverson,4,Harvard University
Jacobson,0,Ericsson
Jain,10,Michigan State University
Jain,0,University of Hamburg
James,0,
Johnson,2,
Johnson,0,Bell Labs
Jones,0,IBM Laboratory Vienna
Jordan,5,"University of California, Berkeley"
Joseph,5,University of Warwick
Joshi,0,University of Pennsylvania
Joy,4,
Jurafsky,3,Stanford University
Kahan,1,"University of California, Berkeley"
Kahn,12,Bell Labs
Kak,0,
Kamp,0,
Karger,3,Harvard University
Karp,16,"University of California, Berkeley"
Karmarkar,0,Bell Labs
Karpinski,0,
Kaehler,0,Xerox PARC
Kay,4,Xerox PARC
Kayal,0,Institute for Advanced Study
Kellis,3,
Kemeny,4,
Kennedy,0,Rice University
Kernighan,0,Princeton University
Kesselman,0,
Kiczales,0,
Kirstein,3,CERN
Kleene,8,University of Wisconsin–Madison
Klein,1,"University of California, Berkeley"
Kleinrock,5,UCLA
Knuth,14,Stanford University
Koenig,0,
Koller,5,Stanford University
Kölling,7,King's College London
Kolmogorov,7,Moscow State University
Kolodner,6,Boston College
Korn,0,
Koster,0,Mathematisch Centrum
Kowalski,2,University of Edinburgh
Koza,0,
Krogstie,0,
Kruskal,0,University of Michigan
Kruusmaa,0,
Kurtz,1,
Ladner,4,University of Washington
Lam,0,Stanford University
Lamport,6,Microsoft Research
Lampson,6,"University of California, Berkeley"
Landin,0,Christopher Strachey
Lane,0,
Langefors,0,
Lattner,2,SiFive
Lawrence,0,
Lazowska,0,University of Washington
Lederberg,3,
Lehman,3,Ferranti
Leiserson,0,Massachusetts Institute of Technology
Lenat,6,
LeCun,3,Bell Labs
Lerdorf,0,
Levchin,0,
Levin,1,Boston University
Leyton-Brown,2,University of British Columbia
Licklider,0,
Liddle,0,
Liedtke,0,GMD
Lions,0,Dalhousie University
Lindsey,0,www
Lipton,3,
Liskov,3,.cs
Liu,0,
Long,5,.man
Lopez,3,
Lovegrove,0,.ac
Lovelace,0,
Luckham,0,.uk
Luks,0,
Lynch,9,/~lindsec
Thalmann,2,Yale
Maibaum,6,Massachusetts Institute of Technology
Marlow,3,Cornell University
Manna,2,"University of California, Santa Cruz"
Martin,3,Intel Corporation
Martin,0,
Mashey,0,
Matiyasevich,7,"University of California, Los Angeles"
Matsumoto,0,
Mauchly,2,Tufts University
Maulik,0,Université Laval
McAuley,1,"Imperial College, London"
McCarthy,7,Microsoft Research
McCallum,2,Weizmann Institute of Science
McIlroy,0,IBM
McKinstry,0,
McKusick,0,
Meertens,1,Petersburg Department
Mehlhorn,4,
Metcalf,0,Ursinus College
Meyer,0,Jadavpur University
Micali,3,University of Glasgow
Milner,4,Stanford University
Minker,1,University of Massachusetts Amherst
Minsky,6,
Mitchell,9,
Mitchell,3,
Mithal,0,Centrum Wiskunde & Informatica
Mockapetris,4,Universität des Saarlandes
Moler,2,
Moller,0,
Moon,0,University of Toronto
Moore,0,Ferranti
Moore,0,"University of Maryland, College Park"
Moore,9,Massachusetts Institute of Technology
Moore,0,Oracle
Moore,2,Carnegie Mellon University
Moravec,0,"University of California, Irvine"
Morgan,0,
Morris,0,University of Michigan
Moses,0,
Motwani,5,
Mukhanov,0,
Muggleton,4,
Müller,1,Intel
Mycroft,0,
Myers,4,Stanford University
Nadin,0,Carnegie Mellon University
Nagao,10,Oxford University Computing Laboratory
Nake,0,
Nardi,0,MIT
Naur,12,
Needham,4,
Nell,0,Imperial College London
Nelson,2,Technical University of Berlin
Neumann,0,University of Cambridge
Neumann,0,Carnegie Mellon University
Neumann,6,
Newell,16,Kyoto University
Newman,5,
Ng,9,
Nilsson,0,Regnecentralen
Nijssen,0,University of Cambridge
Nipkow,0,
Nivat,7,Xerox Palo Alto Research Center
Nkambule,3,
Noe,0,Princeton University
Nordin,0,University of Göttingen
Norman,0,Carnegie Mellon University
Norvig,2,University of Cambridge
Novacky,0,Stanford University
Nygaard,1,SRI International
Odersky,0,
O'Hearn,9,MIT
Olle,0,University of Paris
Omohundro,0,
Ornstein,0,SRI International
O'Sullivan,4,[1]
Ousterhout,2,Northwestern University
Overmars,0,Stanford University
Owicki,0,University of Pittsburgh
Page,0,Norwegian Defense Research Establishment
Pal,5,
Pandya,6,Meta Platforms
Papadimitriou,5,
Park,0,University of Illinois at Urbana-Champaign
Parnas,0,
Patil,0,
Patt,0,
Patterson,6,Utrecht University
Paterson,4,
Pătraşcu,0,
Paulson,1,Indian Statistical Institute
Pausch,1,Oxford University Computing Laboratory
Pavón,0,"University of California, Berkeley"
Pearl,4,Massachusetts Institute of Technology
Perlis,2,
Perlman,0,
Perotto,0,
Péter,0,"University of California, Berkeley"
Jones,2,Massachusetts Institute of Technology
Pham,0,AT&T Labs
Pieraccini,0,University of Cambridge
Pingali,3,Carnegie Mellon University
Plotkin,3,Complutense University of Madrid
Pnueli,6,
Poel,0,Association for Computing Machinery
Popplewell,0,Intel
Post,0,
Postel,3,
Preparata,1,Epic Games
Press,0,
Rabana,0,
Rozenberg,0,Cornell
Rabin,10,University of Edinburgh
Radev,0,Tel Aviv University
Raman,7,Delft University of Technology
Randell,0,University of Manchester
Ravn,4,Princeton University
Reddy,4,
Reed,0,Brown University
Reenskaug,0,Harvard University
Reynolds,2,
Reynolds,0,Leiden University
Riet,0,Harvard University
Richards,0,
Richards,2,
Riese,0,Newcastle University
Rijsbergen,0,University of Copenhagen
Ritchie,2,IIIT Hyderabad
Rivest,5,Lotus Software
Robinson,4,Xerox PARC
Rolland,0,Syracuse University
Romero,0,[1]
Rosenfeld,5,Vrije Universiteit Amsterdam
Ross,1,
Rossum,1,University of Cambridge Computer Laboratory
Rothman,0,
Royce,0,Monash University
Rucker,0,Lucent Technologies
Rudich,4,Massachusetts Institute of Technology
Rulifson,0,University of New South Wales
Rumbaugh,0,
Ružička,0,
Sadowsky,0,"University of Maryland, College Park"
Sadrzadeh,0,Massachusetts Institute of Technology
Saif,0,
Salton,0,
Sammet,2,
Sammut,0,
Sassenrath,0,Carnegie Mellon
Satyanarayanan,5,Stanford Research Institute
Savitch,0,
Schaeffer,2,Comenius University
Schickard,0,
Schmidhuber,0,Queen Mary University of London
Schneider,0,
Schneier,0,Cornell University
Schneider,13,
Schoenebeck,0,
Schroeder,0,
Schölkopf,1,Carnegie Mellon University
Scott,6,"University of California, San Diego"
Scott,0,University of Alberta
Sedgewick,3,
Sethi,0,Dalle Molle Institute for Artificial Intelligence Research
Shadbolt,5,"Royal Holloway, University of London"
Shamir,6,Harvard University
Shannon,10,Cornell University
Shaw,0,University of Michigan
Shaw,0,
